Respondent ID	Collector ID	Start Date	End Date	IP Address	Email Address	First Name	Last Name	Custom Data 1	First Name	Last Name	What is your gender?		Do you primarily identify as:	Which of the following do you identify as? (Select as many as apply)												What is your date of birth?	Zip Code	State	City	What is your cell phone number? (Do not include parenthesis or dashes, only numbers)By entering your phone number and completing the submission form, you consent to receive text message communications from All Star Code.	What is your cell phone service provider?		What is your personal e-mail?	What is your school e-mail?	Primary Guardian's first name:	Primary Guardian's last name:	Primary guardian's e-mail:	What is the name of your current high school? (Please type out the full name, not the acronym)	What type of school is it?	What grade are you currently in?	What is your current GPA? Convert your score to the 4.0 scale. (Example: An 85, or a B, is converted to a 3.0)This information is only for our data, and will not be factored into your admission.	Do you qualify for financial aid?	Do you qualify for free/reduced lunch?	Do you have experience coding or computer science experience?Example: taking a computer science course in high school, or an online course.This information is only for our data, and will not be factored into your admission.	Can you tell us about a time that you struggled with something? For example, a subject in school, a major assignment, or a personal project. What was challenging about it? What did you do?Please be thorough in your response.	Do you prefer working solo or as part of a team? Why?	Can you tell us what you did last summer that was important to you?What did you do, and why was it important to you?Example - a job, project or hobby.	If money were no object, where you would go to college and what would you study? Also, why?What obstacles might prevent you from achieving that dream?	https://askdfsk.googleusercontent.com/8rJRLwtVDlMT2RArWcjvgpcIWIT73aLjPA-eYGIbUq7sZ-88yEvipPmjlcmc4NJ49qJbKZU3UTMh0As3TbJKasaKFl7pfIahYJb9_lYcu31wfvXzpmk0YhHW3uJ-af05DNtUB1XXQvnbuXg	COATS is to TACOS as 25317 is to...	Which number comes next in the following sequence? 41, 40, 43, 42, 45, ...	FEATHER is to WING as...	How did you hear about All Star Code?		readscore	rec	star
									Open-Ended Response	Open-Ended Response	Response	Prefer to self-describe (elaborate here)	Response	African American	African	Caribbean	West Indian	Hispanic/Latino	White	Native American	Middle Eastern	East Asian	South Asian	Southeast Asian	Other (please specify)	Date	Open-Ended Response	Response	Open-Ended Response	Open-Ended Response	Response	Other (please specify)	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Response	Response	Open-Ended Response	Response	Response	Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Response	Response	Response	Response	Response	Other (please specify)	1	TRUE	FALSE
6617758842	167756374	01/08/2018 1:28:46 PM	01/08/2018 1:29:30 PM	130.156.76.99																																																			3	FALSE	FALSE
6617725311	167756374	01/08/2018 1:14:12 PM	01/08/2018 1:14:16 PM	67.87.182.109																																																			2	TRUE	FALSE
6616458489	167756374	01/07/2018 10:01:33 PM	01/07/2018 10:05:15 PM	24.184.247.98					sdfsdbnf	sasdfdf	Male		Hispanic/Latino					Hispanic/Latino								04/18/2001	10460	NY	Bronx	123456789	MetroPCS		askdfsk@gmail.com	ocobas19@avenues.org	Caridad	Taura	askdfsk@yahoo.com																		1	FALSE	FALSE
6616414421	167756374	01/07/2018 9:07:03 PM	01/07/2018 9:11:05 PM	50.202.6.151					sdfsdbnf	sasdfdf	Male		Hispanic/Latino					Hispanic/Latino								04/03/2001	11233	NY	Brooklyn	123456789	MetroPCS		askdfsk@gmail.com	aasdfa@gocfs.net	Ingrid	Acosta	askdfsk@gmail.com	Church Farm School	Private	11th	3.8	Yes	Not Applicable	No											2	TRUE	FALSE
6616390366	167756374	01/07/2018 8:37:30 PM	01/07/2018 9:21:04 PM	69.115.75.36					sdfsdbnf	sasdfdf	Male		Hispanic/Latino					Hispanic/Latino								08/17/2001	10467	NY	Bronx	123456789	T-Mobile		askdfsk@gmail.com	Jquiroz19@cardinalhayes.org	Richard	Quiroz	askdfsk@hotmail.com	Cardinal Hayes High School	Private	11th	3	Yes	Yes	No	A personal event I struggled through was my dads affair. This event took place in the summer after 8th grade. My dad revealed to me and my older brother (Richard) that I had a 9 year old sister. Finding out I was an older brother took me by surprise since I had always been the youngest of the family. That same day we met and I couldn't think of anything to do other than get to know my nine year old sister. After being overwhelmed which such news, me and my older brother's greatest fear was not being able to see her anymore which concluded on me and him not telling my mother. The problem begins. Once my mother found out through a text on my dads phone, the whole household was at chaos. For about 4 months I can't think of a time I was home without an argument. My mother didn't speak to me for about a month which was the most challenging part of the whole situation. At the beginning of the chaos I made the decision to join some clubs to be occupied and not be home. I joined football. Football was my escape of the arguments, lectures, and mainly the depressing environment at home. After I joined football my whole mood changed. I was a happier, competitive, and fit person. After school it would be practice then homework and sleep. No time for any of the negativity at home. After a year or so things at home started to regulate themselves. My mom forgave my dad and most importantly me and my brother. The only bad outcome that is still a problem currently is that contact with my little sister has been completely cut off, but I plan to come back in contact with her once we're older. 	I prefer to work as part of a team because I enjoy giving and receiving ideas, working as a team to pick the best one, and then building a successful project with everyone doing their own part. 	Last summer I was hoping to join this program but once I was placed on the waiting list I decided to sign up for other internships. The other program I attended was a mentorship at the Hearst tower. The mentorship was amazing for the solely fact of meeting the CEOs of many companies and even the editor for Cosmopolitan Magazine. Being able to ask questions and have one on one conversations with people who have thrived and struggled to get where they are inspired me to do better this school year and thrive in my academics and clubs.	If money were no object I would attend NYU. I would study to be a Dermatologist. A Dermatologist is a medical practitioner qualified to diagnose and treat skin disorders. I grew up with a skin condition named Eczema. Growing up with a skin condition makes you cautious of your environment, weather, and your supply of lotion at all times. Always having to be self cautions of my skin has allowed me to grow a passion for it. My only obstacle preventing me from achieving this dream is that at times I can be lazy which would affect my studies.  	https://askdfsk.googleusercontent.com/OS0wpZ0GeZM23FnjTN7LaTkphXb8dsvw3Up13aK3KjkFcYAsKXofjNk_SJn_NK5I9PsZjVv-wVISYsClq8HMNuYerLBFdBV6q5rAhkjEW2GvPWcPG8-DyfQKajY9_y_LAjtjhOAoxWyvjYQ	13257	44	LEAF is to BRANCH	My parent/guardian recommended I apply		1	FALSE	FALSE
6616214715	167756374	01/07/2018 4:34:20 PM	01/07/2018 6:19:01 PM	148.75.113.163					sdfsdbnf	sasdfdf	Male		Black	African American		Caribbean										12/29/2000	7666	NJ	Teaneck	123456789	Verizon		askdfsk@gmail.com	19bazilee@wiltonps.org	Maude	Labaze-Bazile	askdfsk@gmail.com	(ABC) Wilton High School	Public	11th	3.246	Yes	Yes	No	Currently, I am struggling with my current math class, Precalculus 2. This class is the first time that I have ever been truly confused on what is going on and what am I doing. The struggle is not directly about the course, but my teacher. The teacher is useless to teaching us the core and developmental materials to understand the presented quizzes and test, starts random conversations. He hands the class countless worksheets that we are clueless to solving, then wait around two days after it is due to solve it in front of the class. He does not even give an explanation of how the material is solved, just gives us answers. The worst predicaments are the quizzes and test because he changes the layout of the material. When you show up for extra help he looks at the answer then solves the problem without explaining the material you need to know. He argues with concerned students questioning him about grades and class averages and becomes defensive when students tell him they are struggling. He presents us with questions we have not gone over nor on the study guides. Since the quizzes and test are different from the useless packets in class it has resulted in receiving very low grades causing students to drop out.   I have been teaching myself out of my textbook, study on Khan Academy + additional online math programs, seeing other teachers in addition to mine for extra help, speak to my guidance counselor, have scheduled tutoring sessions almost every Monday in order to receive a decent grade.	I have no problem with either or. I personally find both working alone and on a team similar because they result in a completion of a task. However, they differentiate by flexibility and structure. Working individually allows me to I manage myself at my own pace and ensure the completion of my task, use my own ideas and not be distracted. However, when working with a team, allows me to adapt to the group environment, enjoy the experience of sharing ideas, equally cooperating and contributing to the group to ensure the success of the task. In different events and situations, working as a team can be beneficial and equally enjoyable. I believe my open-mindedness, organization, and adaptability allows me to work well with others and solo.	Last summer I participated in Outward Bound´s Oregon Rafting and Mountaineering Course. We navigated over and through mountains, rivers and canyons stretched across Oregon´s Central Cascades. The course expedition followed a 97-mile river trail through a memorizing scenic environment, the Deschutes River. The river was surrounded by a beautiful desert scattered with wildlife and unforgettable events. We learned about river hydrology, captaining skills, wildlife, Leave No Trace principles and basic camping lessons.Traveling down the river for the first six days of the course, you will learn paddle captaining skills, river hydrology, river safety, teamwork, campsite set-up, backcountry cooking and Leave No Trace principles. The last of days we spent hiking into the Central Cascades with 45-pound packs holding our clothes, sleeping bags, food and camp essentials. In the Cascade Mountains, we hiked through the snow at 10,000 and higher elevation. We trekked through the forest, relied on finding freshwater lakes along the way to cook, hydrate and utilize. We learned the importance of teamwork and the various roles that were assigned to us each day (cook, navigator, cleaners, recorder etc..) Today I can still visualize my experience I had that summer, from the friendship bonds to being truly emerged in the outdoors.    Last summer I also applied to All-Star Coding, however, I could not participate because I had already committed to Outward Bound. I did not want to hinder the chance of another individual to receive an amazing experience so I did not sign the pledge commitment form. I was very excited and I want to reapply again because I am still looking forward to trying something new by learning to code and immersing myself in the tech entrepreneurship industry.	If money were no object, I would want to study abroad for college. I believe that I will not only have the opportunity to learn in a new environment, but I would be exposed to what the world has to provide. My time abroad would give me exposure to new cultures, languages and a number of life experiences. In addition to studying abroad, depending on the area I go to, I will be able to develop and improve my language skills as a second language by experiencing it front hand and not just in a classroom.Studying aboard is so important to me because it will expand my interests, allow me to meet new people and ultimately help me develop my future.     In regards to my major, I would want to study either marine biology or a path in engineering focusing on the modernization of technology. I have always had a passion and excitement towards pursuing a career that improves marine life, solve global issues and utilizing my problem solving and creativity skills. I believe both areas of focus will allow me to tap into my strengths and explore things I am extremely passionate about. My time studying abroad in either field will provide me different perspectives on my studies that may not necessarily be provided in the U.S.     If anything would prevent me from achieving that dream it would be myself, because if I work hard and do what I have to do, I can achieve any dreams or goals I have set for myself.  	https://askdfsk.googleusercontent.com/OS0wpZ0GeZM23FnjTN7LaTkphXb8dsvw3Up13aK3KjkFcYAsKXofjNk_SJn_NK5I9PsZjVv-wVISYsClq8HMNuYerLBFdBV6q5rAhkjEW2GvPWcPG8-DyfQKajY9_y_LAjtjhOAoxWyvjYQ	13257	44	LEAF is to BRANCH	Other (please specify)	ABC recommended I apply, counselors and parents	3	TRUE	TRUE
6616181950	167756374	01/07/2018 3:43:59 PM	01/07/2018 4:16:11 PM	96.224.214.160					sdfsdbnf	Dsasdfdf	Male		Hispanic/Latino		African			Hispanic/Latino							Both Hispanic and African American	10/01/2003	11234	NY	Brooklyn	123456789	T-Mobile		askdfsk@gmail.com		Yvonne	Davila	askdfsk@gmail.com	Xaverian High School	Private	9th	3.2	Yes	Not Applicable	Yes	Academically in school I have always excel in school.The bigger challenge I have experienced in joining a football team and I had to lose weight in a short period of time, I had to change my diet and exercise. At first it was difficult, I had to change my mindset in order to achieve my goal in losing the weight which I did. I made the travel team and kept my weight down.	I prefer to work part of a team. I am a team player and like to help others as well. I have motivated my classmates and my teammates to do better in their school work or the football team.	I have been playing football for many years and last summer I attended the football camp in the month of August, I was important to me to attend this camp because I wanted to join the high school football team and I needed to work hard and prove my skills and talents that I have acquired during the years of travel team. I made the JV Sophmores football team by the end of the season I was moved up to the Varsity level and play the last few games with the team. I believe in working hard and showing determination for what its important to me. 	I would love to attend a prestigious college that offered computer technology, medicine and football.The colleges that I would love to attend Penn State, Rutgers College, Notre Dame and NYU School of Medicine. The obstacles in achieving these dreams would be more financially.	https://askdfsk.googleusercontent.com/eb1Q3M-1QAosKUg8eP1fzE0fqVzV9Ab1FtxBdn61_nipvCCVnMCe8OSZlIR37mWg2c3bduHcU2CfvCwrhoz4RSrMQVP88pXsw8l5m2k2m10N6EME3VWd551svwXAofcr4rgM019HctnekDw	71352	44	SHOE is to FOOT	My principal/teacher/counselor recommended I apply		2	FALSE	FALSE
6616107963	167756374	01/07/2018 1:58:20 PM	01/07/2018 2:02:54 PM	24.193.138.85					sdfsdbnf	sasdfdf	Male		Black			Caribbean	West Indian									04/12/2003	11691	NY	NEW YORK	123456789	T-Mobile		21marcusm@lrei.org	21marcusm@lrei.org	FLORE	PERALTE MOISE	askdfsk@gmail.com	Elizabeth Irwin High School	Private	9th	3	Yes	Not Applicable	No											2	TRUE	FALSE
6616052099	167756374	01/07/2018 12:36:32 PM	01/07/2018 1:16:40 PM	72.89.84.253					sdfsdbnf	sasdfdf	Male		Neither				West Indian									02/25/2003	11417	NY	Ozone Park	123456789	T-Mobile		askdfsk@gmail.com		Dianne	Sukhram	askdfsk@msn.com	High for Construction, Trade, and Engineering	Public	9th	3	Yes	Yes	No	i would say something I struggled in was classes for the special high school test. I wouldn't say that it was challenging but i didn't try. this made it hard for me. after the fact i realized my mistake and i realized i had to work harder.	solo because i don't like to depend on any one. they may not put in as much effort as me or we may disagree. Also i don't want to depend on them to do something which they don't do.	Me and my father went to the gym and even though i didn't see a major change in my body it made me proud of my self that i saw some change.	Right now i don't know what college I want to go to but I know that i want to go into engineering and i'll choose a college that cater most to what i want to major in.	https://askdfsk.googleusercontent.com/OS0wpZ0GeZM23FnjTN7LaTkphXb8dsvw3Up13aK3KjkFcYAsKXofjNk_SJn_NK5I9PsZjVv-wVISYsClq8HMNuYerLBFdBV6q5rAhkjEW2GvPWcPG8-DyfQKajY9_y_LAjtjhOAoxWyvjYQ	13257	44	SEED is to FRUIT	My parent/guardian recommended I apply		3	FALSE	FALSE
