name+email+address+phone+parent_name+parent_email+parent_phone+ethnicity+gpa+grade+school_type+prev_cs+q1+q2+q3+q4+q5+s1+s2+s3+s4
Ovogeb Isesin+Xak@gmail.com+1945 Grand Pheasant Lane Lincoln, CA 95648-0000+681-344-1856+Seb Anehi+Vun@gmail.com+284-593-4353+Hispanic/Latino+68+10+public+yes+1+3+3+7+3+c2+c1+c1+c1
Ulov Gayodo+Jazut@gmail.com+349 Rte 31 Flemington, NJ 08822-5777+115-959-2988+Ejep Queyoqu+Fadi@gmail.com+427-247-8433+East Asian+73+10+charter+no+5+4+9+1+5+c3+c1+c1+c2
Iye Upebijuw+Jinad@gmail.com+78 Spring Ln Hackettstown, NJ 07840-5644+136-129-2363+Kef Vad+Oxel@gmail.com+221-472-2736+Hispanic/Latino+68+11+charter+no+4+1+7+9+7+c3+c2+c4+c1
Fiwex More+Quaya@gmail.com+33504 Shorewood Dr Avon, MN 56310-8506+658-813-4793+Limig Vehux+Adu@gmail.com+654-686-2362+West Indian+67+11+charter+no+9+5+4+7+5+c1+c2+c2+c1
Ifogi Evihege+Ifezequ@gmail.com+1722 Easterling St Prichard, AL 36610-3102+827-575-7477+Uqu Hag+Tof@gmail.com+452-453-3871+Hispanic/Latino+68+10+CTE+yes+3+0+6+6+6+c1+c2+c4+c2
Hej Enoh+Koh@gmail.com+1218 7th Ave E Bradenton, FL 34208-2197+923-942-3413+Hab Zuhu+Tevu@gmail.com+591-778-7784+African American+91+10+public+no+4+8+2+4+1+c1+c1+c3+c1
Caz Uquxez+Oki@gmail.com+348 Cruisers Dr Polk City, FL 33868-5127+977-331-2241+Ijijo Dumo+Fex@gmail.com+768-114-5212+African American+86+11+public+no+8+1+2+8+1+c1+c1+c3+c1
Riz Humida+Aju@gmail.com+120 Aurora St Stockton, CA 95202-3127+564-729-7317+Eyuso Umop+Esed@gmail.com+855-645-5889+African American+89+10+public+yes+4+5+6+0+5+c4+c2+c2+c2
Icelu Cinud+Jofaj@gmail.com+1401 Genesee St Utica, NY 13501-4343+333-964-3428+Quequ Ecut+Sac@gmail.com+465-327-4517+African American+96+11+private+no+5+6+9+0+4+c3+c2+c4+c1
Ezo Ayuyamiw+Obak@gmail.com+933 Main St Alexandria, LA 71301-8322+291-524-8283+Oquo Emaveriqu+Bit@gmail.com+359-458-8384+Hispanic/Latino+79+10+CTE+yes+7+0+3+6+3+c1+c2+c2+c1
Mep Oroko+Iseve@gmail.com+2401 Silver Holly Ln Richardson, TX 75082-4209+467-169-1432+Ivovu Rad+Mat@gmail.com+943-642-7847+African American+90+10+CTE+yes+8+7+2+3+0+c2+c2+c4+c1
Dab Goninoh+Xol@gmail.com+933 Main St Alexandria, LA 71301-8322+743-539-2935+Xav Ijoqu+Unoxu@gmail.com+424-946-3885+West Indian+66+10+private+yes+2+0+5+2+9+c3+c1+c2+c1
Oye Asuqua+Cob@gmail.com+1016 Clemmons St Jupiter, FL 33477-3305+256-661-5959+Keme Azohecequ+Ujef@gmail.com+772-629-8992+Hispanic/Latino+67+11+private+no+2+0+9+4+2+c1+c1+c4+c2
Rep Woceye+Epuw@gmail.com+78 Spring Ln Hackettstown, NJ 07840-5644+432-861-4734+Yebor Everu+Azid@gmail.com+132-949-8124+African American+99+10+public+yes+0+7+2+5+9+c1+c1+c3+c1
Jab Gipi+Amoy@gmail.com+121 Plain St Taunton, MA 02780-4970+462-814-1857+Ezaval Gujap+Aroz@gmail.com+918-553-7747+African American+82+11+private+yes+9+6+8+3+4+c3+c2+c1+c2
Umi Ofek+Ozew@gmail.com+1402 Enid St # B Muldrow, OK 74948-4002+865-827-3821+Ujib Igowuvem+Tiy@gmail.com+822-956-6587+African American+79+10+public+yes+1+4+2+6+2+c1+c2+c1+c2
Adiz Quonaw+Isujo@gmail.com+33504 Shorewood Dr Avon, MN 56310-8506+164-873-7723+Icom Hup+Zupu@gmail.com+296-434-2961+Hispanic/Latino+69+10+charter+no+2+8+6+0+4+c3+c1+c2+c2
Abig Xod+Azop@gmail.com+340 W 85th St New York, NY 10024-6265+572-541-4445+Wut Atiti+Azi@gmail.com+582-431-6671+African American+76+11+charter+no+7+9+0+9+9+c4+c1+c4+c2
Bay Kaz+Obok@gmail.com+120 Aurora St Stockton, CA 95202-3127+293-339-3763+Ojuw Kuv+Esadas@gmail.com+949-444-4691+African American+84+11+public+no+4+3+5+1+7+c2+c2+c1+c2
Wad Naque+Lak@gmail.com+1937 Jackson St Alexandria, LA 71301-6438+943-774-1344+Eyik Ezilifal+Taz@gmail.com+651-375-6649+African American+66+11+public+no+5+3+1+7+7+c3+c2+c3+c2
Vek Gaqu+Baqu@gmail.com+01 S Weber St Colorado Springs, CO 80903-2156+996-618-6659+Uxozo Rag+Rut@gmail.com+664-926-8895+African American+66+10+public+yes+5+2+6+9+1+c4+c1+c4+c2
Opequer Ekuh+Ewe@gmail.com+35 Highland Ave Malden, MA 02148-6630+697-147-7238+Umil Mela+Axad@gmail.com+227-544-1366+African American+84+11+charter+yes+2+7+1+5+9+c2+c2+c4+c2
Teb Ituhi+Paz@gmail.com+1401 Genesee St Utica, NY 13501-4343+755-943-4523+Ava Ule+Jos@gmail.com+767-249-1495+African American+82+11+charter+no+7+1+9+7+0+c2+c1+c1+c2
Quage Iyu+Ofux@gmail.com+2837 Glade Aster Ct Raleigh, NC 27604-5468+311-365-9467+Uloqun Ivasoyu+Qur@gmail.com+835-926-8642+African American+67+10+CTE+no+9+4+2+3+3+c4+c1+c4+c2
Nor Ageci+Yih@gmail.com+1401 Genesee St Utica, NY 13501-4343+574-861-9663+Quefib Anuj+Anilo@gmail.com+398-476-3327+Native American+72+11+public+yes+1+5+9+9+0+c2+c1+c4+c2
Waj Liden+Egun@gmail.com+1945 Grand Pheasant Lane Lincoln, CA 95648-0000+243-366-4154+Hijed Avis+Juz@gmail.com+747-379-9261+Southeast Asian+91+11+charter+no+9+7+3+3+3+c2+c1+c2+c2
Jisol Sicif+Cup@gmail.com+349 Rte 31 Flemington, NJ 08822-5777+365-436-4886+Xex Eziju+Ofiye@gmail.com+845-898-3551+African+90+10+public+no+3+6+7+6+5+c4+c1+c4+c1
Fif Emo+Ibed@gmail.com+1402 Enid St # B Muldrow, OK 74948-4002+314-817-4296+Map Rame+Kuk@gmail.com+581-894-9877+African American+91+11+private+yes+6+0+2+7+2+c4+c1+c2+c2
Ocine Uzufa+Xib@gmail.com+727 E 11th St Chattanooga, TN 37403-3104+683-465-1494+Low Satov+Agalib@gmail.com+434-632-7727+Southeast Asian+97+11+CTE+yes+7+3+6+7+1+c1+c1+c3+c2
Oloxi Doh+Rev@gmail.com+1218 7th Ave E Bradenton, FL 34208-2197+456-451-1692+Eto Tox+Ibi@gmail.com+596-575-7849+African American+66+11+private+yes+8+1+5+1+1+c2+c1+c2+c1
Cac Vujiyu+Pic@gmail.com+425 Roslyn Rd Roslyn Hts, NY 11577-2620+697-976-1365+Upe Ixam+Karer@gmail.com+169-192-9691+Hispanic/Latino+91+11+public+yes+0+1+0+2+5+c2+c1+c4+c1
Kar Uke+Meg@gmail.com+2401 Silver Holly Ln Richardson, TX 75082-4209+725-494-6883+Ric Egu+Osam@gmail.com+946-584-7175+African American+85+10+private+yes+6+4+5+9+0+c4+c1+c2+c2
Ipago Ruh+Aquepap@gmail.com+10210 Genetic Center Dr San Diego, CA 92121-4362+714-792-1228+Xuw Dej+Xux@gmail.com+279-955-1766+Hispanic/Latino+87+10+charter+no+4+5+6+1+4+c3+c1+c4+c1
Pam Qusuhex+Zuv@gmail.com+1402 Enid St # B Muldrow, OK 74948-4002+518-362-8466+Ejok Totip+Huz@gmail.com+112-438-4639+Hispanic/Latino+68+11+CTE+no+3+3+7+5+9+c3+c1+c4+c2
Vekis Egayew+Enob@gmail.com+10210 Genetic Center Dr San Diego, CA 92121-4362+496-654-8199+Maj Koco+Lofin@gmail.com+726-193-6139+African American+72+11+CTE+yes+8+2+0+4+6+c2+c1+c3+c1
Quag Ufasi+Odutig@gmail.com+201 S Santa Fe Ave Los Angeles, CA 90012-4338+454-252-7953+Uwip Nudi+Nes@gmail.com+713-853-7375+African American+99+11+private+yes+2+3+3+7+3+c2+c1+c3+c2
Ujub Aviquo+Ofi@gmail.com+348 Cruisers Dr Polk City, FL 33868-5127+338-817-9945+Rax Avoxo+Ono@gmail.com+597-294-6165+Southeast Asian+91+10+public+no+2+3+0+7+8+c4+c1+c3+c1
Lun Ula+Foj@gmail.com+661 Main St Unit C Falmouth, MA 02540-3299+352-925-3647+Ipu Hiv+Xep@gmail.com+934-833-7184+Southeast Asian+75+11+private+yes+9+6+7+0+6+c1+c1+c3+c2
Riz Ize+Igo@gmail.com+1402 Enid St # B Muldrow, OK 74948-4002+171-359-8896+Jed Poyo+Zon@gmail.com+689-423-9134+African American+84+10+public+no+2+9+5+8+7+c4+c1+c3+c2
Efuwir Ilarah+Amoj@gmail.com+1401 Genesee St Utica, NY 13501-4343+344-116-5998+Zay Hiyahav+Pucod@gmail.com+236-842-2594+Hispanic/Latino+82+10+CTE+no+2+5+5+6+9+c2+c2+c4+c2
Lag Upega+Mib@gmail.com+9 Evans Ln Cherry Hill, NJ 08003-1805+818-178-5836+Ika Uto+Iwe@gmail.com+914-866-1491+African American+68+11+CTE+yes+9+6+3+1+4+c1+c2+c1+c1
Fuv Wege+Con@gmail.com+213 Elmwood Dr Colorado Spgs, CO 80907-4355+772-162-5952+Now Wipur+Imuku@gmail.com+385-528-2991+African American+68+11+private+yes+3+1+7+9+1+c4+c2+c2+c1
