name+email+address+phone+parent_name+parent_email+parent_phone+gpa+ethnicity+grade+school_type+prev_cs+q1+q2+q3+q4+q5+s1+s2+s3+s4
Peg Lefu+Hom@gmail.com+349 Rte 31 Flemington, NJ 08822-5777+124-154-9525+Dog Hevoj+Fiw@gmail.com+551-523-6763+Hispanic/Latino+88+10+charter+yes+1+4+1+9+6+c2+c1+c2+c1
Alik Pal+Tow@gmail.com+327 Quaker Mtg Hse Rd East Sandwich, MA 02537-1300+946-785-8138+Ude Ret+Iret@gmail.com+447-779-6874+Hispanic/Latino+81+10+private+yes+5+6+3+3+9+c3+c2+c1+c1
Tob Ipalir+Ena@gmail.com+2126 Wilshire Dr Enid, OK 73703-6622+578-132-4629+Wed Gakij+Uzes@gmail.com+563-571-2479+Caribbean+81+11+public+no+6+3+6+6+9+c1+c2+c1+c1
Gaz Gurepu+Gaji@gmail.com+78 Spring Ln Hackettstown, NJ 07840-5644+317-856-9273+Otoz Opatevi+Vuk@gmail.com+228-277-7771+Native American+79+10+charter+no+6+3+4+2+0+c2+c1+c2+c2
Kifa Iruy+Inuf@gmail.com+327 Quaker Mtg Hse Rd East Sandwich, MA 02537-1300+385-986-5327+Ucil Efosoc+Oto@gmail.com+835-317-1598+Hispanic/Latino+88+10+private+yes+8+0+4+5+0+c2+c1+c2+c2
Eyil Ciyo+Ukir@gmail.com+2401 Silver Holly Ln Richardson, TX 75082-4209+352-838-8478+Loz Melu+Ukux@gmail.com+634-176-8445+African+78+10+public+no+0+5+8+3+9+c2+c2+c2+c2
Dagi Atequiw+Ewon@gmail.com+727 E 11th St Chattanooga, TN 37403-3104+642-625-6776+Met Ukuyez+Lah@gmail.com+922-271-5574+African+96+10+private+yes+7+6+0+0+4+c3+c2+c4+c2
Kuj Fit+One@gmail.com+49 Johns Valley Dr Fishersville, VA 22939-2049+582-947-5273+Kus Izosifed+Dog@gmail.com+194-915-6794+African American+69+10+charter+no+0+6+5+8+5+c2+c1+c4+c1
Wen Godi+Izat@gmail.com+817 Kuhlman Rd Houston, TX 77024-3105+497-985-1274+Uhaqu Muco+Wawa@gmail.com+362-141-3361+African American+91+10+private+no+1+9+4+1+4+c3+c2+c4+c2
Uputex Baqub+Qud@gmail.com+1016 Clemmons St Jupiter, FL 33477-3305+474-293-6555+Ayof Lepeg+Ozub@gmail.com+175-993-7189+African American+99+10+private+yes+8+5+9+5+8+c1+c2+c2+c1
Jur Edej+Anuz@gmail.com+8325 Broadway St 202-66 Pearland, TX 77581-5772+276-281-9863+Jul Payizo+Hubo@gmail.com+788-198-3742+Hispanic/Latino+74+10+charter+no+2+1+5+4+8+c3+c2+c1+c2
Mob Hemuwap+Pezu@gmail.com+112 Kehl St Connersville, IN 47331-3339+491-131-1642+Giz Herop+Kutu@gmail.com+496-483-5279+Hispanic/Latino+89+11+public+no+6+2+4+4+5+c3+c1+c1+c2
Cod Jaxep+Ifamo@gmail.com+2401 Silver Holly Ln Richardson, TX 75082-4209+514-351-4758+Ari Ivuxu+Cat@gmail.com+536-634-1834+Native American+67+10+private+yes+1+6+9+4+6+c4+c1+c1+c2
Igino Hemuz+Pam@gmail.com+8325 Broadway St 202-66 Pearland, TX 77581-5772+147-585-7818+Melo Piwe+Cal@gmail.com+635-636-2433+African American+81+11+private+yes+5+5+6+2+7+c4+c1+c4+c2
Oce Nup+Anoh@gmail.com+100 S Main St Southampton, NY 11968-4804+315-316-6164+Efu Anacuqui+Iwa@gmail.com+783-611-9861+Hispanic/Latino+78+11+public+no+9+4+8+9+0+c3+c1+c1+c1
Ugage Sehob+Quohoj@gmail.com+1402 Enid St # B Muldrow, OK 74948-4002+492-211-1434+Les Ahux+Okupo@gmail.com+317-876-9214+African American+68+10+public+yes+1+9+8+2+7+c1+c2+c2+c2
Eque Pom+Uni@gmail.com+2361 Nw 33rd St Oakland Park, FL 33309-6447+688-818-7525+Ajix Ralohud+Ole@gmail.com+899-896-1779+Hispanic/Latino+97+10+public+yes+3+2+0+6+9+c2+c1+c1+c2
Xig Nawag+Ucufox@gmail.com+20 N Silver St Mt Pleasant, PA 15666-1506+456-417-2349+Lori Ica+Masu@gmail.com+941-983-3498+African American+78+11+private+no+2+8+7+1+8+c3+c1+c3+c1
Odihow Naquaqu+Arin@gmail.com+78 Spring Ln Hackettstown, NJ 07840-5644+278-748-4158+Wowag Tehuqu+How@gmail.com+643-322-2867+African American+86+10+CTE+yes+4+4+5+6+8+c1+c1+c3+c1
Jez Rofe+Rogi@gmail.com+933 Main St Alexandria, LA 71301-8322+749-734-4727+Agi Nuvem+Ques@gmail.com+854-727-1626+African American+92+11+charter+no+9+5+4+2+5+c4+c2+c3+c1
Wij Unika+Zol@gmail.com+35 Highland Ave Malden, MA 02148-6630+375-817-6264+Oro Wetiv+Gul@gmail.com+426-876-8846+African American+79+10+CTE+no+8+0+8+9+3+c2+c2+c3+c1
Qus Vujux+Ajuf@gmail.com+121 Plain St Taunton, MA 02780-4970+942-721-5543+Miyod Eriju+Agut@gmail.com+697-951-8989+African American+82+10+CTE+no+1+2+0+7+0+c1+c2+c4+c2
Viy Era+Paz@gmail.com+49 Johns Valley Dr Fishersville, VA 22939-2049+135-667-4889+Wic Apokubi+Uhi@gmail.com+834-919-7869+African+66+11+charter+yes+4+9+0+0+3+c3+c2+c2+c1
Koj Obuhe+Wod@gmail.com+727 E 11th St Chattanooga, TN 37403-3104+547-649-8441+Imi Etinoqui+Ohusob@gmail.com+312-943-2675+African American+81+10+public+yes+4+2+9+1+0+c3+c1+c4+c2
Quik Zev+Peh@gmail.com+20 N Silver St Mt Pleasant, PA 15666-1506+776-516-9556+Ixez Usurag+Lic@gmail.com+368-289-7349+Hispanic/Latino+81+10+CTE+yes+2+3+6+8+6+c3+c1+c1+c1
Evodo Oyem+Ayequ@gmail.com+2401 Silver Holly Ln Richardson, TX 75082-4209+244-158-9928+Boruw Eyi+Gezi@gmail.com+699-921-5815+Southeast Asian+65+10+CTE+no+8+0+8+7+0+c1+c2+c1+c1
Olitu Esimiw+Res@gmail.com+1016 Clemmons St Jupiter, FL 33477-3305+713-215-2735+Izif Uwejubac+Ovod@gmail.com+861-163-5424+African American+71+10+CTE+no+5+9+8+2+2+c4+c2+c3+c2
Iruquaqu Isoye+Paz@gmail.com+817 Kuhlman Rd Houston, TX 77024-3105+427-392-6587+Mub Quakeyis+Sis@gmail.com+661-725-6829+African American+87+11+charter+no+1+2+9+5+2+c4+c2+c3+c1
Goh Cideh+Apafil@gmail.com+35 Highland Ave Malden, MA 02148-6630+872-874-8568+Hab Hiquoro+Fora@gmail.com+562-463-3875+African American+98+11+private+yes+4+7+2+3+1+c4+c1+c3+c2
Evu Pafiv+Tab@gmail.com+Mech And Aero Engr Dept Rolla, MO 65409-0001+189-286-4666+Keb Ipevo+Agut@gmail.com+641-721-5734+Southeast Asian+65+11+public+yes+6+2+0+3+1+c3+c1+c4+c1
